x-axis,2
second,Volt
-1.280000E-03,-15.736495E-03
-1.277500E-03,-15.526068E-03
-1.275000E-03,-15.067524E-03
-1.272500E-03,-15.987751E-03
-1.270000E-03,-14.963884E-03
-1.267500E-03,-15.378455E-03
-1.265000E-03,-14.995285E-03
-1.262500E-03,-15.146044E-03
-1.260000E-03,-15.956343E-03
-1.257500E-03,-16.000319E-03
-1.255000E-03,-15.843281E-03
-1.252500E-03,-15.862121E-03
-1.250000E-03,-15.899813E-03
-1.247500E-03,-15.871542E-03
-1.245000E-03,-16.072543E-03
-1.242500E-03,-16.025443E-03
-1.240000E-03,-15.642275E-03
-1.237500E-03,-16.182473E-03
-1.235000E-03,-15.749059E-03
-1.232500E-03,-15.783609E-03
-1.230000E-03,-15.799310E-03
-1.227500E-03,-15.560619E-03
-1.225000E-03,-15.617155E-03
-1.222500E-03,-15.843275E-03
-1.220000E-03,-16.333221E-03
-1.217500E-03,-15.551185E-03
-1.215000E-03,-16.069398E-03
-1.212500E-03,-15.412993E-03
-1.210000E-03,-16.147912E-03
-1.207500E-03,-16.138495E-03
-1.205000E-03,-15.764752E-03
-1.202500E-03,-15.676815E-03
-1.200000E-03,-16.292407E-03
-1.197500E-03,-15.959499E-03
-1.195000E-03,-15.727089E-03
-1.192500E-03,-15.940659E-03
-1.190000E-03,-16.147929E-03
-1.187500E-03,-16.135362E-03
-1.185000E-03,-16.044286E-03
-1.182500E-03,-16.326962E-03
-1.180000E-03,-16.534241E-03
-1.177500E-03,-15.884118E-03
-1.175000E-03,-16.308125E-03
-1.172500E-03,-16.606470E-03
-1.170000E-03,-16.006589E-03
-1.167500E-03,-15.862103E-03
-1.165000E-03,-16.851449E-03
-1.162500E-03,-16.747772E-03
-1.160000E-03,-16.411741E-03
-1.157500E-03,-16.147932E-03
-1.155000E-03,-16.166759E-03
-1.152500E-03,-16.801188E-03
-1.150000E-03,-16.826314E-03
-1.147500E-03,-16.826306E-03
-1.145000E-03,-16.480855E-03
-1.142500E-03,-16.603350E-03
-1.140000E-03,-16.235848E-03
-1.137500E-03,-16.606456E-03
-1.135000E-03,-16.882832E-03
-1.132500E-03,-16.549969E-03
-1.130000E-03,-16.760373E-03
-1.127500E-03,-16.970803E-03
-1.125000E-03,-16.370950E-03
-1.122500E-03,-16.505915E-03
-1.120000E-03,-16.895418E-03
-1.117500E-03,-16.750917E-03
-1.115000E-03,-17.052411E-03
-1.112500E-03,-17.108989E-03
-1.110000E-03,-17.369637E-03
-1.107500E-03,-16.967634E-03
-1.105000E-03,-17.294311E-03
-1.102500E-03,-16.948827E-03
-1.100000E-03,-17.093289E-03
-1.097500E-03,-17.331976E-03
-1.095000E-03,-16.355249E-03
-1.092500E-03,-17.083853E-03
-1.090000E-03,-17.030520E-03
-1.087500E-03,-17.187533E-03
-1.085000E-03,-17.331957E-03
-1.082500E-03,-17.382208E-03
-1.080000E-03,-17.272314E-03
-1.077500E-03,-17.086986E-03
-1.075000E-03,-16.967678E-03
-1.072500E-03,-17.156093E-03
-1.070000E-03,-17.002190E-03
-1.067500E-03,-16.977056E-03
-1.065000E-03,-17.168660E-03
-1.062500E-03,-16.842035E-03
-1.060000E-03,-17.369695E-03
-1.057500E-03,-17.341403E-03
-1.055000E-03,-17.272294E-03
-1.052500E-03,-17.536091E-03
-1.050000E-03,-17.250296E-03
-1.047500E-03,-17.655392E-03
-1.045000E-03,-16.684987E-03
-1.042500E-03,-16.684987E-03
-1.040000E-03,-17.130981E-03
-1.037500E-03,-16.732093E-03
-1.035000E-03,-16.961360E-03
-1.032500E-03,-17.017916E-03
-1.030000E-03,-16.901710E-03
-1.027500E-03,-16.760345E-03
-1.025000E-03,-17.218897E-03
-1.022500E-03,-16.772917E-03
-1.020000E-03,-16.719525E-03
-1.017500E-03,-16.449434E-03
-1.015000E-03,-16.590792E-03
-1.012500E-03,-16.512228E-03
-1.010000E-03,-17.099571E-03
-1.007500E-03,-16.606470E-03
-1.005000E-03,-17.165467E-03
-1.002500E-03,-16.424298E-03
-1.000000E-03,-16.842028E-03
-997.500E-06,-17.030519E-03
-995.000E-06,-16.537424E-03
-992.500E-06,-16.352006E-03
-990.000E-06,-16.609549E-03
-987.500E-06,-16.433754E-03
-985.000E-06,-16.537391E-03
-982.500E-06,-16.769734E-03
-980.000E-06,-16.788665E-03
-977.500E-06,-16.593842E-03
-975.000E-06,-16.889127E-03
-972.500E-06,-16.688104E-03
-970.000E-06,-16.738355E-03
-967.500E-06,-16.223219E-03
-965.000E-06,-16.597127E-03
-962.500E-06,-16.025415E-03
-960.000E-06,-16.885986E-03
-957.500E-06,-15.614082E-03
-955.000E-06,-16.490238E-03
-952.500E-06,-16.141633E-03
-950.000E-06,-16.323730E-03
-947.500E-06,-16.370917E-03
-945.000E-06,-16.898484E-03
-942.500E-06,-16.257904E-03
-940.000E-06,-16.248489E-03
